t_dat,customer_id,article_id,price,sales_channel_id
2020-08-18,0286813f82495eaa40c83b061cdd0bb67b27ca12ca2d140020783ece6563f873,0831555001,0.023711864406779665,1
2020-08-18,02acec8b45ec4fc2ce99508d286b7eab171338f17413f3276bdf6d1d6224125f,0664074059,0.016932203389830508,1
2020-08-18,02acec8b45ec4fc2ce99508d286b7eab171338f17413f3276bdf6d1d6224125f,0664074001,0.016932203389830508,1
2020-08-18,02acec8b45ec4fc2ce99508d286b7eab171338f17413f3276bdf6d1d6224125f,0664074072,0.016932203389830508,1
2020-08-18,02acec8b45ec4fc2ce99508d286b7eab171338f17413f3276bdf6d1d6224125f,0770315014,0.016932203389830508,1
2020-08-18,02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,0853394001,0.042355932203389825,2
2020-08-18,02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,0853394001,0.042355932203389825,2
2020-08-18,02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,0806528007,0.050830508474576264,2
2020-08-18,02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,0806528007,0.050830508474576264,2
2020-08-18,02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,0806528007,0.050830508474576264,2
2020-08-18,02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,0806528007,0.050830508474576264,2
2020-08-18,055d51f2817330abf9c2cbd36536fb3bb8475e4240db23735cd38e0cb25d349a,0811899003,0.042355932203389825,2
2020-08-18,055d51f2817330abf9c2cbd36536fb3bb8475e4240db23735cd38e0cb25d349a,0811899003,0.042355932203389825,2
2020-08-18,06645dcd5ba24c24f23c4773f14ba1869b1fa95cdfa4dba2ce1c8ce37f1d52e2,0808349001,0.06777966101694916,1
2020-08-18,06645dcd5ba24c24f23c4773f14ba1869b1fa95cdfa4dba2ce1c8ce37f1d52e2,0874113004,0.016932203389830508,1
2020-08-18,0689c095203d37e702e809cb3cbabc49144aeb7729dd52c9555f02a7de5e7906,0808628001,0.013542372881355931,1
2020-08-18,08912e029dc780e47e8426cf1cdf9454a95a39a384941ae50b7ce725dd17fa9c,0909289002,0.033881355932203386,2
2020-08-18,08912e029dc780e47e8426cf1cdf9454a95a39a384941ae50b7ce725dd17fa9c,0928719001,0.025406779661016947,2
2020-08-18,08912e029dc780e47e8426cf1cdf9454a95a39a384941ae50b7ce725dd17fa9c,0929938002,0.033881355932203386,2
2020-08-18,0d602de7c0af22a2c27007fc790d3d01452c8a4a15ff4d380b2046d0d291af4c,0858640004,0.020322033898305086,2
2020-08-18,0d602de7c0af22a2c27007fc790d3d01452c8a4a15ff4d380b2046d0d291af4c,0817069002,0.016932203389830508,2
2020-08-18,0dfbe8513c84406814488493c20a51c7635af0d89b37f96f77b207d64bab665e,0436083002,0.025406779661016947,1
2020-08-18,0dfbe8513c84406814488493c20a51c7635af0d89b37f96f77b207d64bab665e,0701735016,0.022016949152542376,1
2020-08-18,0fcc55264d0e486467f9a3697750ce6551c7f77f577aa4cc6ddbad7ac3436d66,0927865001,0.022016949152542376,2
2020-08-18,0fcc55264d0e486467f9a3697750ce6551c7f77f577aa4cc6ddbad7ac3436d66,0927865001,0.022016949152542376,2
2020-08-18,11e5bc63dddb628426f8c482c18a70da1011f1c75ce40cbcc9864af1e650ee82,0456163083,0.033881355932203386,1
2020-08-18,11e5bc63dddb628426f8c482c18a70da1011f1c75ce40cbcc9864af1e650ee82,0603584001,0.033881355932203386,1
2020-08-18,11e5bc63dddb628426f8c482c18a70da1011f1c75ce40cbcc9864af1e650ee82,0841434009,0.025406779661016947,1
2020-08-18,12466ec028e13c331dbe9e98b5a076a32c19df54068155d684097423c491de2b,0754792004,0.025406779661016947,2
2020-08-18,12466ec028e13c331dbe9e98b5a076a32c19df54068155d684097423c491de2b,0754792004,0.025406779661016947,2
2020-08-18,12ad37d8450ff1e1a81a7f17f3aa95a7ddd084e801c28e73441e18a6799fad47,0865921002,0.011847457627118646,2
